凤凰传奇之悠哉三打狗子明,#genre#
红凤凰悠哉HD,http://[2409:8087:2001:20:2800:0:df6e:eb22]:80/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8
粉凤凰悠哉,http://[2409:8087:2001:20:2800:0:df6e:eb19]:80/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8
红粉凤凰香港台悠哉,http://[2409:8087:2001:20:2800:0:df6e:eb22]:80/ott.mobaibox.com/PLTV/1/224/3221228530/1.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&wsIPSercert=8de23d0849e78e3b16ec92a809235421&wsMonitor=0
黑莓电影,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221225743/index.m3u8
黑莓电影,http://39.134.65.207/PLTV/88888888/224/3221225681/1.m3u8
黑莓电影,http://[2409:8087:2001:20:2800:0:df6e:eb04]/ott.mobaibox.com/PLTV/3/224/3221225567/index.m3u8
黑莓动画,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8
翡翠台,https://edge6a.v2h-cdn.com/jade/jade.stream/chunklist.m3u8
斗鱼,https://openhls-tct.douyucdn2.cn/dyliveflv1/252802rCnFqY6xFH_2000.m3u8?txSecret=6310847176a44d7cac3eec2e1064f4a7&txTime=65af93f4&token=h5-douyu-0-252802-56dbb8e3924fc6a4ecf2ede0560a3cdf&did=10000000000000000000000000001501&origin=tct&vhost=play1&sid=379099049#.m3u8
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb22]:80/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb19]:80/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8
凤凰香港,http://[2409:8087:2001:20:2800:0:df6e:eb23]:80/ott.mobaibox.com/PLTV/1/224/3221228530/1.m3u8

央视频道,#genre#
CCTV1综合,http://113.231.98.189:8818/hls/1/index.m3u8
CCTV2财经,http://113.231.98.189:8818/hls/2/index.m3u8
CCTV3综艺,https://node1.olelive.com:6443/live/CCTV3HD/hls.m3u8
CCTV3综艺,http://1.80.12.9:10000/hls/3/index.m3u8
CCTV3综艺,http://[2409:8087:2001:20:2800:0:df6e:eb20]/ott.mobaibox.com/PLTV/4/224/3221228499/index.
CCTV4中文国际,http://113.231.98.189:8818/hls/3/index.m3u8
CCTV5体育,
CCTV5+体育赛事,
CCTV6电影,
CCTV7国防军事,http://113.231.98.189:8818/hls/4/index.m3u8
CCTV8电视剧,
CCTV9纪录,http://113.231.98.189:8818/hls/5/index.m3u8
CCTV10科教,http://113.231.98.189:8818/hls/6/index.m3u8
CCTV11戏曲,http://113.231.98.189:8818/hls/7/index.m3u8
CCTV12社会与法,http://113.231.98.189:8818/hls/8/index.m3u8
CCTV13新闻,http://113.231.98.189:8818/hls/9/index.m3u8
CCTV14少儿,http://113.231.98.189:8818/hls/10/index.m3u8
CCTV15音乐,ttp://113.231.98.189:8818/hls/11/index.m3u8
CCTV16奥林匹克,http://iptvrr.sh.chinamobile.com:6060/cms001/ch00000090990000001248/index.m3u8
CCTV16奥林匹克4K,http://iptvrr.sh.chinamobile.com:6060/cms001/ch00000090990000001258/index.m3u8
CCTV17农业农村,ttp://113.231.98.189:8818/hls/12/index.m3u8

CCTV1综合,http://110.72.81.167:808/hls/54/index.m3u8
CCTV2财经,http://110.72.81.167:808/hls/97/index.m3u8
CCTV3综艺,http://110.72.81.167:808/hls/37/index.m3u8
CCTV4中文国际,http://110.72.81.167:808/hls/113/index.m3u8
CCTV5体育,http://110.72.81.167:808/hls/38/index.m3u8
CCTV5+体育赛事,http://110.72.81.167:808/hls/14/index.m3u8
CCTV6电影,http://110.72.81.167:808/hls/39/index.m3u8
CCTV7国防军事,http://110.72.81.167:808/hls/5/index.m3u8
CCTV8电视剧,http://110.72.81.167:808/hls/40/index.m3u8
CCTV9纪录,http://110.72.81.167:808/hls/119/index.m3u8
CCTV10科教,http://110.72.81.167:808/hls/99/index.m3u8
CCTV11戏曲,http://110.72.81.167:808/hls/100/index.m3u8
CCTV12社会与法,http://110.72.81.167:808/hls/101/index.m3u8
CCTV13新闻,http://110.72.81.167:808/hls/106/index.m3u8
CCTV14少儿,http://110.72.81.167:808/hls/105/index.m3u8
CCTV15音乐,http://110.72.81.167:808/hls/102/index.m3u8
CCTV17农业农村,

CCTV1综合,http://116.23.179.151:88/hls/1/index.m3u8
CCTV2财经,http://116.23.179.151:88/hls/2/index.m3u8
CCTV3综艺,http://116.23.179.151:88/hls/3/index.m3u8
CCTV4中文国际,http://116.23.179.151:88/hls/4/index.m3u8
CCTV5体育,http://116.23.179.151:88/hls/5/index.m3u8
CCTV5+体育赛事,
CCTV6电影,http://116.23.179.151:88/hls/6/index.m3u8
CCTV7国防军事,http://116.23.179.151:88/hls/7/index.m3u8
CCTV8电视剧,http://116.23.179.151:88/hls/8/index.m3u8
CCTV9纪录,http://116.23.179.151:88/hls/9/index.m3u8
CCTV10科教,http://116.23.179.151:88/hls/10/index.m3u8
CCTV11戏曲,http://116.23.179.151:88/hls/11/index.m3u8
CCTV12社会与法,http://116.23.179.151:88/hls/12/index.m3u8
CCTV13新闻,http://116.23.179.151:88/hls/13/index.m3u8
CCTV14少儿,http://116.23.179.151:88/hls/14/index.m3u8
CCTV15音乐,http://116.23.179.151:88/hls/15/index.m3u8

中国教育1,http://110.72.81.167:808/hls/129/index.m3u8
卡通动漫,http://110.72.81.167:808/hls/138/index.m3u8
中国电影,http://110.72.81.167:808/hls/65/index.m3u8
cctv娱乐,http://110.72.81.167:808/hls/66/index.m3u8
经典电影,http://110.72.81.167:808/hls/220/index.m3u8
谍战剧厂,http://110.72.81.167:808/hls/1024/index.m3u8

CCTV-1综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226419/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226231/1.m3u8
CCTV-2财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV-3综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8
CCTV-4中文国际,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8
CCTV-5体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
CCTV-5+体育赛事,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/1.m3u8
CCTV-6电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226011/1.m3u8
CCTV-7军事·农业,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226192/1.m3u8
CCTV-8电视剧,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226391/1.m3u8
CCTV-9纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8
CCTV-10科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226189/1.m3u8
CCTV-11戏曲,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226240/1.m3u8
CCTV-12社会与法,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226190/1.m3u8
CCTV-13新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8#https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226233/1.m3u8#https://pi.0472.org/tv/startv.php?auth=231110
CCTV-14少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226193/1.m3u8
CCTV-15音乐,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225785/1.m3u8
CCTV-16奥林匹克,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226921/1.m3u8
CCTV-17农业农村,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226198/1.m3u8
CCTV世界地理 8M1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226947/index.m3u8
CCTV兵器科技 8M1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226975/index.m3u8
CCTV央视台球 8M1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226956/index.m3u8
CCTV央视文化精品 8M1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226981/index.m3u8
CCTV怀旧剧场 8M1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226972/index.m3u8
CCTV电视指南 8M1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226987/index.m3u8
CCTV第一剧场 8M1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226959/index.m3u8
CCTV风云剧场 8M1080,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226950/index.m3u8
